"master_id","last_order_date"
"565da16a-a2f8-11e9-a2fc-000d3a38a36f","2021-05-30"
"6dc5306c-a46e-11e9-a2fc-000d3a38a36f","2021-05-30"
"e5fc9212-1347-11ea-a001-000d3a38a36f","2021-05-30"
"ebdfc190-5b40-11ea-82aa-000d3a38a36f","2021-05-30"
"c97181d8-f4ee-11e9-9346-000d3a38a36f","2021-05-30"
"625f40a2-5bd2-11ea-98b0-000d3a38a36f","2021-05-30"
"1a67479e-dd56-11ea-9c1f-000d3a38a36f","2021-05-30"
"83acf7ea-62da-11ea-a6dc-000d3a38a36f","2021-05-30"
"133d8a00-25f0-11ea-8e1c-000d3a38a36f","2021-05-30"
"eb559328-5b25-11ea-bd37-000d3a38a36f","2021-05-30"
"aa735b9c-a54a-11e9-a2fc-000d3a38a36f","2021-05-30"
"41aa28de-a9b4-11e9-a2fc-000d3a38a36f","2021-05-30"
"0be18fce-b0e6-11e9-9757-000d3a38a36f","2021-05-30"
"f11beba6-45a7-11ea-a691-000d3a38a36f","2021-05-30"
"9c41f95e-a43a-11e9-a2fc-000d3a38a36f","2021-05-30"
"449f8abe-c689-11ea-9bc9-000d3a38a36f","2021-05-30"
"2522cf16-f71d-11e9-841e-000d3a38a36f","2021-05-30"
"4a7e875e-e6ce-11ea-8f44-000d3a38a36f","2021-05-30"
"73dbc3ba-1f72-11ea-87bf-000d3a38a36f","2021-05-30"
"00dc8510-908d-11eb-bae6-000d3a38a36f","2021-05-30"
"c7bc6f3a-9dad-11e9-9897-000d3a38a36f","2021-05-30"
"35bb1806-c133-11eb-8ef5-000d3a38a36f","2021-05-30"
"71539e34-a87f-11e9-a2fc-000d3a38a36f","2021-05-30"
"b0dfa82c-a99c-11e9-a2fc-000d3a38a36f","2021-05-30"
"3e1e2c5c-aa76-11e9-a2fc-000d3a38a36f","2021-05-30"
"a0288834-5bf1-11ea-9714-000d3a38a36f","2021-05-30"
"325a829c-ce53-11ea-b31f-000d3a38a36f","2021-05-30"
"fb1b8920-a7f2-11e9-a2fc-000d3a38a36f","2021-05-30"
"d13be372-d34b-11ea-9838-000d3a38a36f","2021-05-30"
"3991df04-d707-11e9-93bc-000d3a38a36f","2021-05-30"
"62b00748-1245-11ea-a001-000d3a38a36f","2021-05-30"
"8494636c-9e3d-11e9-9897-000d3a38a36f","2021-05-30"
"b27dec42-a146-11e9-a2fc-000d3a38a36f","2021-05-30"
"531920b8-2a44-11eb-b280-000d3a38a36f","2021-05-30"
"3477640a-5be9-11ea-ab50-000d3a38a36f","2021-05-30"
"a311d9aa-a496-11e9-a2fc-000d3a38a36f","2021-05-30"
