"interested_in_categories_12","year_month","total_sales","rolling_3_month_sales"
"[AKTIFCOCUK, ERKEK, COCUK]","2021-04-01 00:00:00+01","15250.42","42362.15"
"[AKTIFCOCUK, ERKEK, COCUK]","2021-05-01 00:00:00+01","23846.43","49267.85"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2020-07-01 00:00:00+01","990.34","990.34"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2020-08-01 00:00:00+01","3686.22","4676.56"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2020-09-01 00:00:00+01","3496.53","8173.09"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2020-10-01 00:00:00+01","8331.00","15513.75"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2020-11-01 00:00:00+00","12931.87","24759.40"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2020-12-01 00:00:00+00","10595.53","31858.40"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2021-01-01 00:00:00+00","10074.79","33602.19"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2021-02-01 00:00:00+00","59015.23","79685.55"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2021-03-01 00:00:00+00","33949.82","103039.84"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2021-04-01 00:00:00+01","41591.06","134556.11"
"[AKTIFCOCUK, ERKEK, KADIN, AKTIFSPOR]","2021-05-01 00:00:00+01","62753.53","138294.41"
"[AKTIFCOCUK, ERKEK, KADIN]","2020-06-01 00:00:00+01","2590.62","2590.62"
"[AKTIFCOCUK, ERKEK, KADIN]","2020-07-01 00:00:00+01","2828.47","5419.09"
"[AKTIFCOCUK, ERKEK, KADIN]","2020-08-01 00:00:00+01","2720.77","8139.86"
"[AKTIFCOCUK, ERKEK, KADIN]","2020-09-01 00:00:00+01","3635.86","9185.10"
"[AKTIFCOCUK, ERKEK, KADIN]","2020-10-01 00:00:00+01","4461.01","10817.64"
"[AKTIFCOCUK, ERKEK, KADIN]","2020-11-01 00:00:00+00","7778.31","15875.18"
"[AKTIFCOCUK, ERKEK, KADIN]","2020-12-01 00:00:00+00","4218.29","16457.61"
"[AKTIFCOCUK, ERKEK, KADIN]","2021-01-01 00:00:00+00","9841.23","21837.83"
"[AKTIFCOCUK, ERKEK, KADIN]","2021-02-01 00:00:00+00","5639.51","19699.03"
"[AKTIFCOCUK, ERKEK, KADIN]","2021-03-01 00:00:00+00","10032.90","25513.64"
"[AKTIFCOCUK, ERKEK, KADIN]","2021-04-01 00:00:00+01","15963.11","31635.52"
"[AKTIFCOCUK, ERKEK, KADIN]","2021-05-01 00:00:00+01","11783.80","37779.81"
"[AKTIFCOCUK, ERKEK]","2020-06-01 00:00:00+01","286.94","286.94"
"[AKTIFCOCUK, ERKEK]","2020-07-01 00:00:00+01","5413.07","5700.01"
"[AKTIFCOCUK, ERKEK]","2020-08-01 00:00:00+01","2180.26","7880.27"
"[AKTIFCOCUK, ERKEK]","2020-09-01 00:00:00+01","3689.07","11282.40"
"[AKTIFCOCUK, ERKEK]","2020-10-01 00:00:00+01","4339.68","10209.01"
"[AKTIFCOCUK, ERKEK]","2020-11-01 00:00:00+00","10357.85","18386.60"
"[AKTIFCOCUK, ERKEK]","2020-12-01 00:00:00+00","5176.39","19873.92"
"[AKTIFCOCUK, ERKEK]","2021-01-01 00:00:00+00","8420.80","23955.04"
"[AKTIFCOCUK, ERKEK]","2021-02-01 00:00:00+00","13040.75","26637.94"
"[AKTIFCOCUK, ERKEK]","2021-03-01 00:00:00+00","27554.63","49016.18"
"[AKTIFCOCUK, ERKEK]","2021-04-01 00:00:00+01","31572.93","72168.31"
"[AKTIFCOCUK, ERKEK]","2021-05-01 00:00:00+01","24786.13","83913.69"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2020-06-01 00:00:00+01","4484.08","4484.08"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2020-07-01 00:00:00+01","1912.81","6396.89"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2020-08-01 00:00:00+01","3646.99","10043.88"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2020-09-01 00:00:00+01","7813.09","13372.89"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2020-10-01 00:00:00+01","9089.87","20549.95"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2020-11-01 00:00:00+00","12523.64","29426.60"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2020-12-01 00:00:00+00","8136.86","29750.37"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2021-01-01 00:00:00+00","15085.08","35745.58"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2021-02-01 00:00:00+00","25166.67","48388.61"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2021-03-01 00:00:00+00","27897.48","68149.23"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2021-04-01 00:00:00+01","33531.47","86595.62"
"[AKTIFCOCUK, KADIN, AKTIFSPOR]","2021-05-01 00:00:00+01","51495.37","112924.32"
"[AKTIFCOCUK, KADIN]","2020-06-01 00:00:00+01","6606.13","6606.13"
"[AKTIFCOCUK, KADIN]","2020-07-01 00:00:00+01","2806.82","9412.95"
"[AKTIFCOCUK, KADIN]","2020-08-01 00:00:00+01","825.52","10238.47"
"[AKTIFCOCUK, KADIN]","2020-09-01 00:00:00+01","8538.38","12170.72"
"[AKTIFCOCUK, KADIN]","2020-10-01 00:00:00+01","7894.84","17258.74"
"[AKTIFCOCUK, KADIN]","2020-11-01 00:00:00+00","3813.27","20246.49"
"[AKTIFCOCUK, KADIN]","2020-12-01 00:00:00+00","7371.94","19080.05"
"[AKTIFCOCUK, KADIN]","2021-01-01 00:00:00+00","15450.32","26635.53"
"[AKTIFCOCUK, KADIN]","2021-02-01 00:00:00+00","14576.02","37398.28"
"[AKTIFCOCUK, KADIN]","2021-03-01 00:00:00+00","23811.49","53837.83"
"[AKTIFCOCUK, KADIN]","2021-04-01 00:00:00+01","34368.44","72755.95"
"[AKTIFCOCUK, KADIN]","2021-05-01 00:00:00+01","40206.44","98386.37"
"[AKTIFCOCUK]","2020-05-01 00:00:00+01","961.31","961.31"
"[AKTIFCOCUK]","2020-06-01 00:00:00+01","11907.83","12869.14"
"[AKTIFCOCUK]","2020-07-01 00:00:00+01","15452.11","28321.25"
"[AKTIFCOCUK]","2020-08-01 00:00:00+01","8808.30","36168.24"
"[AKTIFCOCUK]","2020-09-01 00:00:00+01","15726.24","39986.65"
"[AKTIFCOCUK]","2020-10-01 00:00:00+01","18828.85","43363.39"
"[AKTIFCOCUK]","2020-11-01 00:00:00+00","24284.92","58840.01"
"[AKTIFCOCUK]","2020-12-01 00:00:00+00","21991.10","65104.87"
"[AKTIFCOCUK]","2021-01-01 00:00:00+00","29522.25","75798.27"
"[AKTIFCOCUK]","2021-02-01 00:00:00+00","26613.47","78126.82"
"[AKTIFCOCUK]","2021-03-01 00:00:00+00","51086.84","107222.56"
"[AKTIFCOCUK]","2021-04-01 00:00:00+01","43198.09","120898.40"
"[AKTIFCOCUK]","2021-05-01 00:00:00+01","85261.52","179546.45"
"[AKTIFSPOR]","2020-05-01 00:00:00+01","7922.54","7922.54"
"[AKTIFSPOR]","2020-06-01 00:00:00+01","165836.91","173759.45"
"[AKTIFSPOR]","2020-07-01 00:00:00+01","135751.52","309510.97"
"[AKTIFSPOR]","2020-08-01 00:00:00+01","91143.78","392732.21"
"[AKTIFSPOR]","2020-09-01 00:00:00+01","97145.28","324040.58"
"[AKTIFSPOR]","2020-10-01 00:00:00+01","131577.33","319866.39"
"[AKTIFSPOR]","2020-11-01 00:00:00+00","245394.53","474117.14"
"[AKTIFSPOR]","2020-12-01 00:00:00+00","120285.59","497257.45"
"[AKTIFSPOR]","2021-01-01 00:00:00+00","174984.43","540664.55"
"[AKTIFSPOR]","2021-02-01 00:00:00+00","233500.43","528770.45"
"[AKTIFSPOR]","2021-03-01 00:00:00+00","259032.44","667517.30"
"[AKTIFSPOR]","2021-04-01 00:00:00+01","320868.76","813401.63"
"[AKTIFSPOR]","2021-05-01 00:00:00+01","390522.33","970423.53"
"[COCUK, AKTIFSPOR]","2020-05-01 00:00:00+01","1225.87","1225.87"
"[COCUK, AKTIFSPOR]","2020-06-01 00:00:00+01","4745.19","5971.06"
"[COCUK, AKTIFSPOR]","2020-07-01 00:00:00+01","11197.44","17168.50"
"[COCUK, AKTIFSPOR]","2020-08-01 00:00:00+01","3765.61","19708.24"
"[COCUK, AKTIFSPOR]","2020-09-01 00:00:00+01","7596.86","22559.91"
"[COCUK, AKTIFSPOR]","2020-10-01 00:00:00+01","11262.64","22625.11"
"[COCUK, AKTIFSPOR]","2020-11-01 00:00:00+00","19805.53","38665.03"
"[COCUK, AKTIFSPOR]","2020-12-01 00:00:00+00","14424.92","45493.09"
"[COCUK, AKTIFSPOR]","2021-01-01 00:00:00+00","23483.65","57714.10"
"[COCUK, AKTIFSPOR]","2021-02-01 00:00:00+00","29313.24","67221.81"
"[COCUK, AKTIFSPOR]","2021-03-01 00:00:00+00","22981.84","75778.73"
"[COCUK, AKTIFSPOR]","2021-04-01 00:00:00+01","37587.73","89882.81"
"[COCUK, AKTIFSPOR]","2021-05-01 00:00:00+01","55189.62","115759.19"
"[COCUK, KADIN, AKTIFSPOR]","2020-06-01 00:00:00+01","914.38","914.38"
"[COCUK, KADIN, AKTIFSPOR]","2020-07-01 00:00:00+01","7449.19","8363.57"
"[COCUK, KADIN, AKTIFSPOR]","2020-08-01 00:00:00+01","4726.13","13089.70"
"[COCUK, KADIN, AKTIFSPOR]","2020-09-01 00:00:00+01","2241.34","14416.66"
"[COCUK, KADIN, AKTIFSPOR]","2020-10-01 00:00:00+01","12691.54","19659.01"
"[COCUK, KADIN, AKTIFSPOR]","2020-11-01 00:00:00+00","22598.89","37531.77"
"[COCUK, KADIN, AKTIFSPOR]","2020-12-01 00:00:00+00","8826.32","44116.75"
"[COCUK, KADIN, AKTIFSPOR]","2021-01-01 00:00:00+00","17784.44","49209.65"
"[COCUK, KADIN, AKTIFSPOR]","2021-02-01 00:00:00+00","23846.16","50456.92"
"[COCUK, KADIN, AKTIFSPOR]","2021-03-01 00:00:00+00","27551.66","69182.26"
"[COCUK, KADIN, AKTIFSPOR]","2021-04-01 00:00:00+01","32145.53","83543.35"
"[COCUK, KADIN, AKTIFSPOR]","2021-05-01 00:00:00+01","84828.14","144525.33"
"[COCUK, KADIN]","2020-05-01 00:00:00+01","595.38","595.38"
"[COCUK, KADIN]","2020-06-01 00:00:00+01","12106.52","12701.90"
"[COCUK, KADIN]","2020-07-01 00:00:00+01","19241.75","31943.65"
"[COCUK, KADIN]","2020-08-01 00:00:00+01","14167.12","45515.39"
"[COCUK, KADIN]","2020-09-01 00:00:00+01","14734.56","48143.43"
"[COCUK, KADIN]","2020-10-01 00:00:00+01","18679.53","47581.21"
"[COCUK, KADIN]","2020-11-01 00:00:00+00","38339.76","71753.85"
"[COCUK, KADIN]","2020-12-01 00:00:00+00","15316.59","72335.88"
"[COCUK, KADIN]","2021-01-01 00:00:00+00","29679.96","83336.31"
"[COCUK, KADIN]","2021-02-01 00:00:00+00","18792.56","63789.11"
"[COCUK, KADIN]","2021-03-01 00:00:00+00","25652.27","74124.79"
"[COCUK, KADIN]","2021-04-01 00:00:00+01","26530.33","70975.16"
"[COCUK, KADIN]","2021-05-01 00:00:00+01","69295.54","121478.14"
"[COCUK]","2020-05-01 00:00:00+01","1946.76","1946.76"
"[COCUK]","2020-06-01 00:00:00+01","23941.93","25888.69"
"[COCUK]","2020-07-01 00:00:00+01","30467.46","56356.15"
"[COCUK]","2020-08-01 00:00:00+01","14440.28","68849.67"
"[COCUK]","2020-09-01 00:00:00+01","17630.84","62538.58"
"[COCUK]","2020-10-01 00:00:00+01","18826.06","50897.18"
"[COCUK]","2020-11-01 00:00:00+00","33881.34","70338.24"
"[COCUK]","2020-12-01 00:00:00+00","19513.93","72221.33"
"[COCUK]","2021-01-01 00:00:00+00","39015.38","92410.65"
"[COCUK]","2021-02-01 00:00:00+00","17956.24","76485.55"
"[COCUK]","2021-03-01 00:00:00+00","31942.11","88913.73"
"[COCUK]","2021-04-01 00:00:00+01","42367.77","92266.12"
"[COCUK]","2021-05-01 00:00:00+01","89769.65","164079.53"
"[ERKEK, AKTIFSPOR]","2020-05-01 00:00:00+01","1642.26","1642.26"
"[ERKEK, AKTIFSPOR]","2020-06-01 00:00:00+01","32290.95","33933.21"
"[ERKEK, AKTIFSPOR]","2020-07-01 00:00:00+01","37275.34","71208.55"
"[ERKEK, AKTIFSPOR]","2020-08-01 00:00:00+01","22305.99","91872.28"
"[ERKEK, AKTIFSPOR]","2020-09-01 00:00:00+01","49937.62","109518.95"
"[ERKEK, AKTIFSPOR]","2020-10-01 00:00:00+01","48841.84","121085.45"
"[ERKEK, AKTIFSPOR]","2020-11-01 00:00:00+00","129798.57","228578.03"
"[ERKEK, AKTIFSPOR]","2020-12-01 00:00:00+00","75694.75","254335.16"
"[ERKEK, AKTIFSPOR]","2021-01-01 00:00:00+00","98748.75","304242.07"
"[ERKEK, AKTIFSPOR]","2021-02-01 00:00:00+00","93972.90","268416.40"
"[ERKEK, AKTIFSPOR]","2021-03-01 00:00:00+00","128453.87","321175.52"
"[ERKEK, AKTIFSPOR]","2021-04-01 00:00:00+01","165292.88","387719.65"
"[ERKEK, AKTIFSPOR]","2021-05-01 00:00:00+01","204769.19","498515.94"
"[ERKEK, COCUK, AKTIFSPOR]","2020-06-01 00:00:00+01","1595.37","1595.37"
"[ERKEK, COCUK, AKTIFSPOR]","2020-09-01 00:00:00+01","3975.68","5571.05"
"[ERKEK, COCUK, AKTIFSPOR]","2020-10-01 00:00:00+01","2768.73","8339.78"
"[ERKEK, COCUK, AKTIFSPOR]","2020-11-01 00:00:00+00","12810.04","19554.45"
"[ERKEK, COCUK, AKTIFSPOR]","2020-12-01 00:00:00+00","15426.91","31005.68"
"[ERKEK, COCUK, AKTIFSPOR]","2021-01-01 00:00:00+00","19579.41","47816.36"
"[ERKEK, COCUK, AKTIFSPOR]","2021-02-01 00:00:00+00","14836.19","49842.51"
"[ERKEK, COCUK, AKTIFSPOR]","2021-03-01 00:00:00+00","20516.67","54932.27"
"[ERKEK, COCUK, AKTIFSPOR]","2021-04-01 00:00:00+01","24353.66","59706.52"
"[ERKEK, COCUK, AKTIFSPOR]","2021-05-01 00:00:00+01","50024.94","94895.27"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-06-01 00:00:00+01","2439.21","2439.21"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-07-01 00:00:00+01","3934.39","6373.60"
"[ERKEK, COCUK, KADIN, AKTIFSPOR]","2020-08-01 00:00:00+01","462.95","6836.55"
